"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000004848",182.481185713445,0.203659120980464,0.119851349823558,1.6992643076635,0.0892693944474627,0.209182387450794
"ENSG00000004864",353.216604969507,-0.557682482982203,0.154258049294237,-3.61525693818713,0.000300049881096179,0.00439867345391566
"ENSG00000004866",359.022401329228,0.189263721822415,0.0651002513415071,2.90726560838549,0.00364603470732107,0.023130007598566
"ENSG00000004897",1548.89810387414,0.117618286220031,0.075601633221655,1.55576382688967,0.119764262740218,0.255809314195632
"ENSG00000004939",14.2053694171846,-0.406643878472618,0.291263354717315,-1.39613814057483,0.162672900312636,0.316323637909751
"ENSG00000004948",1.93243993745524,0.0723546305160896,0.348453209060566,0.207645183441296,0.835506021911585,0.904512077968494
"ENSG00000004961",170.30843510195,0.268065544431999,0.107629053127157,2.49064296900668,0.012751218257882,0.0540647132998182
"ENSG00000004975",611.103544647526,-0.0181561516535641,0.05116235230637,-0.354873277617134,0.722684528598736,0.832965441344973
"ENSG00000005001",0.353821207312716,0.172449275102664,1.01478374140507,0.169936970870159,0.865059705420111,NA
"ENSG00000005007",1907.33796984683,-0.015799888927592,0.0405812463116379,-0.389339667053569,0.697024896514199,0.814980083898425
"ENSG00000005020",386.679669243446,0.187896788622378,0.0849555215170695,2.21170778858235,0.0269868620013785,0.0908507038399513
"ENSG00000005022",1168.55976959637,-0.0398099766535482,0.0776935067823999,-0.512397731834219,0.608372678080844,0.75080309060774
"ENSG00000005059",68.8823279412115,-0.165690775540289,0.142328647916627,-1.16414213136731,0.244366417122398,0.416911705447773
"ENSG00000005075",151.190568189919,-0.194511156974744,0.0588517263752773,-3.30510537166595,0.000949406987202204,0.00935479061606205
"ENSG00000005100",605.894112266974,0.0905651590793937,0.0440380783208774,2.05651932446968,0.0397324855601404,0.119221232107937
"ENSG00000005102",14.5049268448341,-0.0786978917126644,0.188554152955582,-0.417375541610071,0.67640374191033,0.801245241440001
"ENSG00000005108",616.245739676275,0.255722053139131,0.0805265273637853,3.17562499602007,0.00149514092714488,0.0126104862416738
"ENSG00000005156",966.462725780545,-0.0499774996316866,0.0439417351890176,-1.13735835457353,0.255388509290001,0.42951295678121
"ENSG00000005175",475.659340393273,0.0796729123528535,0.0490909993954874,1.62296374761067,0.104597154759338,0.233481768853794
"ENSG00000005187",6.84297453871743,-0.313136444946222,0.194028601781573,-1.61386745083457,0.106556180124783,0.236310807995635
"ENSG00000005189",41.4490319744807,0.0963971107831643,0.125004931692925,0.771146461804915,0.440620123803799,0.612856046413933
"ENSG00000005194",370.677635323679,0.0858673752399313,0.0793751447673857,1.08179173079396,0.279345081813037,0.455481440192155
"ENSG00000005206",978.123635332273,-0.302175646437074,0.0653603375084275,-4.62322653089287,3.77816731182276e-06,0.000276814827356152
"ENSG00000005238",509.610701946912,-0.123942270225518,0.0706569363985076,-1.75414158245525,0.079406250060736,0.192901361879389
"ENSG00000005243",44.6173777919864,-0.435260931428781,0.135771069437343,-3.20584446474917,0.00134666756879788,0.0118162624181454
"ENSG00000005249",1246.21901644979,0.549335583827562,0.141233300714226,3.88956132193708,0.000100425590886563,0.00218244022220663
"ENSG00000005302",548.028076167506,0.124871090626682,0.0428122043016855,2.91671715258459,0.00353736392109046,0.0226597400224465
"ENSG00000005339",3975.71014110901,0.117263238434951,0.0540711745600804,2.16868302545666,0.0301067569672798,0.0982187837310072
"ENSG00000005379",2892.14524531368,0.0767264406000763,0.106277502724306,0.721944330956964,0.470328704391084,0.638761093904708
"ENSG00000005381",20.3536928970444,-0.103634228040483,0.216898951376868,-0.477799580784583,0.63279285956265,0.768983534160934
"ENSG00000005421",14.8514907382124,-0.261661471702091,0.134036901275814,-1.95215995902246,0.0509192164036071,0.141206569723536
"ENSG00000005436",551.256944420424,-0.0257070682861957,0.0497285053920585,-0.516948339458862,0.605192221980816,0.748371354602934
"ENSG00000005448",187.086380821015,-0.0009177455496125,0.0696313540868551,-0.0131800617932511,0.98948413664445,0.994563441020237
"ENSG00000005469",146.682527022883,-0.0450499132094001,0.0754259485184312,-0.597273406490761,0.550324856512899,0.705375898510915
"ENSG00000005471",13.9262871191643,-0.030918006891205,0.134681612727001,-0.229563681821033,0.818430830887523,0.894464148834241
"ENSG00000005483",3682.284787481,-0.032724545772437,0.0481837819776251,-0.679161004581027,0.497035852412805,0.661591638128638
"ENSG00000005486",2118.46913468379,0.216910057853594,0.101265134396745,2.1420013822701,0.0321933708009401,0.102983723562423
"ENSG00000005513",2076.42771701687,-0.542201149037423,0.142074180603577,-3.81632430842802,0.000135454445116335,0.00262989231720221
"ENSG00000005700",1094.90230978107,-0.094100294749248,0.0594411921837751,-1.58308222450043,0.113402724537432,0.24671049150609
"ENSG00000005801",779.530563488062,-0.0447241506565432,0.0554066475879425,-0.80719828041493,0.41955225629924,0.593212626057492
"ENSG00000005810",9128.52989438673,0.334456435491477,0.0910293512761837,3.67416037577521,0.000238632818988903,0.0037939898756911
"ENSG00000005812",1569.92301007421,-0.0696845889741968,0.0412452517465267,-1.68951784807726,0.0911202344472933,0.212109205366986
"ENSG00000005844",96.4281011056001,-0.140096341299246,0.194004695723967,-0.722128610219711,0.470215409661048,0.638710854429244
"ENSG00000005882",1488.07905620869,0.111745643081742,0.0525694694683647,2.12567568613163,0.0335302727760974,0.105784803859613
"ENSG00000005884",588.344294488142,0.223540202238827,0.0915957230628873,2.44050917186767,0.0146665735119561,0.0595105284659267
"ENSG00000005889",1178.09123767458,0.0441019586870553,0.0719310060377234,0.613114720846897,0.539800487215722,0.696961772586447
"ENSG00000005893",6901.82764971053,-0.388603136148425,0.152140185081922,-2.55424387671921,0.0106418690349861,0.0477643030694959
"ENSG00000005961",75.0663115705337,0.193956734476858,0.0824356103339956,2.35282705727567,0.0186312971507424,0.0702104693700193
"ENSG00000005981",54.8764642596222,-0.246756291838951,0.157990788319906,-1.56183974055063,0.11832574717978,0.253772802512207
"ENSG00000006007",1187.56994235493,0.0293442382704356,0.050798789981636,0.577656244982286,0.563496225477738,0.716171725855802
"ENSG00000006015",414.336886718065,-0.0156197099877326,0.0626426505632677,-0.249346249676282,0.803092958727921,0.884916626751143
"ENSG00000006016",347.341208016284,-0.00184193373690583,0.173168609702218,-0.0106366491021278,0.99151334193072,0.995317252977958
"ENSG00000006025",412.490666219106,-0.0726117959720854,0.0619563433897732,-1.17198323850841,0.241203785717375,0.413613968922199
"ENSG00000006042",1129.42106747612,-0.40771116707023,0.203606225633818,-2.00244941332733,0.0452364185685643,0.130091127967984
"ENSG00000006047",33.6736823531535,0.0923749755383137,0.155259960152933,0.594969723342214,0.551863709392945,0.706575567301692
"ENSG00000006059",0.0811446416308631,-0.567902478981678,1.79417942869193,-0.316524908211502,0.751604122255071,NA
"ENSG00000006062",277.624283264434,0.0368684358834101,0.0903595363332023,0.408019312399492,0.683259496496724,0.805605244073519
"ENSG00000006071",1467.6945719579,0.283746723447425,0.105507218233698,2.68935839838871,0.00715895122282737,0.0366462565041934
"ENSG00000006116",648.406384075719,0.564937474266397,0.183478392518552,3.07904089692346,0.00207668171877312,0.0157731260658728
"ENSG00000006118",2066.27141812958,0.0960158900858193,0.0900074411721748,1.06675502420018,0.286082472907196,0.462659362459025
"ENSG00000006125",7789.74391873197,0.192829976851751,0.0669521057374841,2.88011817892371,0.00397526131916237,0.0244991118626014
"ENSG00000006128",64.208622535147,0.440094639801589,0.333513086677802,1.31957232678774,0.186977847296188,0.348119398410713
