"geneid","gene_name"
"560","ENSG00000223978","ZNF736P1Y"
"562","ENSG00000230819","ZNF736P5Y"
"563","ENSG00000185894","BPY2C"
"564","ENSG00000228296","TTTY4C"
"565","ENSG00000205916","DAZ4"
"566","ENSG00000129873","CDY2B"
"567","ENSG00000251841","RNU6-1334P"
"568","ENSG00000184895","SRY"
"569","ENSG00000282162","LINC01784"
"570","ENSG00000281934","PRAMEF11"
"571","ENSG00000232195","TOMM22P2"
"573","ENSG00000129824","RPS4Y1"
"574","ENSG00000282116","PRAMEF30P"
"575","ENSG00000282175","HNRNPCL1"
"576","ENSG00000282817","PRAMEF2"
"577","ENSG00000229163","NAP1L1P2"
"579","ENSG00000067646","ZFY"
"580","ENSG00000282584","PRAMEF4"
"581","ENSG00000282663","PRAMEF10"
"582","ENSG00000279195","PRAMEF7"
"583","ENSG00000223600","EEF1A1P41"
"584","ENSG00000215414","PSMA6P1"
"585","ENSG00000224035","SFPQP1"
"586","ENSG00000223915","DPPA2P1"
"587","ENSG00000282338","RNU6-1072P"
"588","ENSG00000282549","PRAMEF29P"
"589","ENSG00000067048","DDX3Y"
"590","ENSG00000282119","PRAMEF6"
"591","ENSG00000282791","PRAMEF28P"
"592","ENSG00000282437","PRAMEF27"
"593","ENSG00000282559","HNRNPCL3"
"594","ENSG00000282566","PRAMEF25"
"595","ENSG00000282258","PRAMEF34P"
"596","ENSG00000282562","PRAMEF35P"
"597","ENSG00000282530","HNRNPCL2"
"598","ENSG00000282468","PRAMEF36P"
"601","ENSG00000281987","PRAMEF26"
"602","ENSG00000282095","HNRNPCL4"
"603","ENSG00000282298","PRAMEF9"
"604","ENSG00000234059","CASKP1"
"605","ENSG00000183878","UTY"
"606","ENSG00000282741","PRAMEF13"
"607","ENSG00000282212","PRAMEF18"
"608","ENSG00000282289","PRAMEF31P"
"609","ENSG00000282424","PRAMEF5"
"610","ENSG00000282216","PRAMEF32P"
"611","ENSG00000282288","RNU6-771P"
"612","ENSG00000282583","PRAMEF8"
"613","ENSG00000282125","PRAMEF33"
"614","ENSG00000293551","PRAMEF22"
"615","ENSG00000154620","TMSB4Y"
"616","ENSG00000129864","VCY"
"617","ENSG00000187191","DAZ3"
"618","ENSG00000291381","ARHGEF19"
"620","ENSG00000291404","ANO7L1"
"622","ENSG00000291382","CPLANE2"
"623","ENSG00000291377","MT1XP1"
"624","ENSG00000291375","FBXO42"
"625","ENSG00000188120","DAZ1"
"626","ENSG00000291379","SZRD1"
"627","ENSG00000291374","RPL22P3"
"628","ENSG00000291401","SPATA21"
"629","ENSG00000291380","NECAP2"
"633","ENSG00000291388","LINC01772"
"634","ENSG00000099721","AMELY"
"635","ENSG00000291402","CROCCP3"
"636","ENSG00000291389","RNU1-1"
"639","ENSG00000291392","LINC01783"
"640","ENSG00000291393","RNU1-6P"
"641","ENSG00000291394","PDE4DIPP8"
"642","ENSG00000092377","TBL1Y"
"644","ENSG00000291385","RNU1-2"
"647","ENSG00000291400","LINC03126"
"648","ENSG00000291383","RNU1-5P"
"651","ENSG00000291398","EIF1AXP1"
"652","ENSG00000291396","RNU1-3"
"653","ENSG00000291399","RNU1-4"
"654","ENSG00000291387","PADI2"
"656","ENSG00000291403","CROCCP4"
"668","ENSG00000205944","DAZ2"
"671","ENSG00000292225","NBPF1"
"672","ENSG00000226555","AGKP1"
"673","ENSG00000228787","NLGN4Y-AS1"
"674","ENSG00000165246","NLGN4Y"
"675","ENSG00000229343","CDY22P"
"676","ENSG00000232695","ELOCP17"
"677","ENSG00000235511","OFD1P18Y"
"678","ENSG00000232914","TRAPPC2P4"
"679","ENSG00000223655","RAB9AP3"
"680","ENSG00000230854","USP9YP20"
"681","ENSG00000252625","RNU1-40P"
"682","ENSG00000227635","USP9YP21"
"683","ENSG00000237546","XKRYP6"
"684","ENSG00000227867","ELOCP11"
